"IDbait","IDoe"
"1_943677","1_903641"
"1_943677","1_1206874"
"1_943677","1_1239426"
"1_943677","1_1309969"
"1_943677","1_1364314"
"1_1049052","1_848169"
"1_1049052","1_850619"
"1_1049052","1_889424"
"1_1049052","1_903641"
"1_1049052","1_1096739"
"1_1049052","1_1107116"
"1_1049052","1_1109733"
"1_1049052","1_1206874"
"1_1049052","1_1239426"
"1_1049052","1_1283837"
"1_1049052","1_1309969"
"1_1049052","1_1364314"
"1_1049052","1_1545983"
"1_1049052","1_1648711"
"1_25273787","1_25531683"
"1_32410371","1_32226064"
"1_32410371","1_32246460"
"1_117542531","1_117109278"
"1_117542531","1_117292351"
"1_153743839","1_153303649"
"1_153743839","1_153315280"
"1_153743839","1_153329475"
"1_153743839","1_153342367"
"1_153743839","1_153585136"
"1_153743839","1_153599452"
"1_153743839","1_153621935"
"1_153743839","1_153636395"
"1_153743839","1_153649059"
"1_153743839","1_153721604"
"1_153743839","1_153725019"
"1_153743839","1_153893802"
"1_153743839","1_153917401"
"1_153743839","1_153923538"
"1_153743839","1_153936971"
"1_153743839","1_153941440"
"1_153743839","1_153956792"
"1_153743839","1_154163713"
"1_153743839","1_154171924"
"1_153743839","1_154221516"
"1_153743839","1_154232124"
"1_160492674","1_160305096"
"1_160492674","1_160368453"
"1_160492674","1_160643025"
"1_160492674","1_160680987"
"1_167485364","1_166840743"
"1_167485364","1_166943297"
"1_167485364","1_167009846"
"1_167485364","1_167020971"
"1_167485364","1_167056089"
"1_167485364","1_167060384"
"1_167485364","1_167187457"
"1_167485364","1_167690219"
"1_207095325","1_206639384"
"1_207095325","1_206680498"
"1_207095325","1_206784719"
"1_207095325","1_206808181"
"1_207095325","1_206846623"
"1_207095325","1_206945005"
"1_207095325","1_206971832"
"1_207095325","1_207038127"
"1_207095325","1_207491500"
"1_228326248","1_222762923"
"1_228326248","1_222909496"
"1_228326248","1_225596388"
"1_228326248","1_226594644"
"1_228326248","1_227748098"
"1_228326248","1_228264821"
"1_228326248","1_228399082"
"1_228326248","1_228587629"
"1_228326248","1_228610767"
"1_228326248","1_228637113"
"1_228326248","1_228656412"
"1_228326248","1_229406345"
"1_228326248","1_229477418"
"1_228326248","1_229692817"
"1_228326248","1_230766387"
"1_228326248","1_241798766"
"10_99180364","10_99044940"
"10_99180364","10_99075665"
"10_99180364","10_99079899"
"10_99180364","10_99255245"
"10_99180364","10_99445888"
"10_116577878","10_115509832"
"10_116577878","10_115610452"
"10_116577878","10_115798543"
"10_116577878","10_115862998"
"10_116577878","10_115930062"
"10_116577878","10_115938654"
"10_116577878","10_115996795"
"10_116577878","10_116411177"
"10_116577878","10_116442134"
"10_116577878","10_116696415"
"10_116577878","10_116848353"
"10_126837057","10_124767028"
"10_126837057","10_127407480"
"10_126837057","10_127511899"
"11_3237645","11_2983361"
"11_3237645","11_3011918"
"11_3237645","11_3067221"
"11_94275770","11_93516090"
"11_94275770","11_96122634"
"11_124613597","11_124492553"
"11_124613597","11_124537244"
"12_27171342","12_26273795"
"12_27171342","12_26276615"
"12_27171342","12_26979009"
"12_27171342","12_27088464"
"12_27171342","12_27396025"
"12_27171342","12_27485603"
"12_27171342","12_27671949"
"12_27171342","12_28342751"
"12_56725086","12_56513471"
"12_56725086","12_56842593"
"14_24769128","14_24583394"
"14_24769128","14_24656814"
"14_24769128","14_24674183"
"14_24769128","14_24677636"
"14_24769128","14_24683387"
"14_24769128","14_24699675"
"14_24769128","14_24702554"
"14_24769128","14_24800814"
"14_24769128","14_24894613"
"14_24769128","14_24899592"
"14_24769128","14_24908556"
"14_50358189","14_50061701"
"14_50358189","14_50074683"
"14_50358189","14_50467745"
"14_50358189","14_50500285"
"14_50358189","14_50554130"
"14_50358189","14_50568416"
"14_50358189","14_50692824"
"14_50358189","14_51024758"
"14_50358189","14_51287345"
"14_50358189","14_51296619"
"14_50358189","14_51373125"
"14_50358189","14_53151116"
"14_101904053","14_101320467"
"14_101904053","14_101364465"
"14_101904053","14_101391902"
"16_1810189","16_1488865"
"16_67515357","16_67674137"
"16_67515357","16_67684481"
"16_67515357","16_67698217"
"16_67515357","16_67752266"
"16_67515357","16_67875386"
"16_67515357","16_67905460"
"16_67515357","16_67911016"
"16_67515357","16_67917948"
"16_67515357","16_68110224"
"16_88854751","16_88849933"
"16_88854751","16_89231413"
"16_88854751","16_89284032"
"16_89154236","16_88931749"
"16_89154236","16_89001969"
"17_1354524","17_1173588"
"17_1354524","17_1301340"
"17_1354524","17_1395708"
"17_1354524","17_1412771"
"17_1354524","17_1464947"
"17_1354524","17_1512131"
"17_1354524","17_1529960"
"17_1354524","17_1617249"
"17_1354524","17_1731139"
"17_1354524","17_2200955"
"17_1354524","17_2226822"
"17_1354524","17_2237418"
"17_1354524","17_2314092"
"17_33774280","17_33467178"
"17_33774280","17_33471018"
"17_33774280","17_33568746"
"17_33774280","17_33861853"
"17_43199789","17_42979068"
"17_43199789","17_43296482"
"17_76109910","17_74732058"
"17_76109910","17_75275377"
"17_76109910","17_75420227"
"17_76109910","17_75437247"
"17_76109910","17_75998824"
"17_76109910","17_76103774"
"17_76109910","17_76149646"
"17_76109910","17_76176913"
"17_76109910","17_76226126"
"17_76109910","17_76352548"
"17_76109910","17_76374411"
"17_76109910","17_76388850"
"17_76109910","17_76691598"
"17_76109910","17_76834504"
"17_76109910","17_77773717"
"17_78997936","17_78388411"
"17_78997936","17_79206412"
"19_10215285","19_9694877"
"19_10215285","19_9938050"
"19_10215285","19_10043738"
"19_10215285","19_10360796"
"19_10215285","19_10511971"
"19_10215285","19_10516027"
"19_10215285","19_10667442"
"19_10215285","19_54663038"
"19_10516027","19_10043738"
"19_10516027","19_10215285"
"19_10516027","19_10228245"
"19_10516027","19_10360796"
"19_10516027","19_10397276"
"19_10516027","19_10667442"
"19_10516027","19_10677260"
"19_10516027","19_10761038"
"19_10649808","19_10626941"
"19_10649808","19_10761038"
"19_17953733","19_17516320"
"19_17953733","19_17557184"
"19_17953733","19_17569886"
"19_17953733","19_17792724"
"19_17953733","19_17830057"
"19_17953733","19_17886751"
"19_18169849","19_18303017"
"19_18169849","19_18358943"
"19_18169849","19_18417618"
"19_36389676","19_36204880"
"19_36389676","19_36414293"
"19_36389676","19_36482725"
"19_36389676","19_36698998"
"19_36389676","19_50526842"
"19_36389676","19_54959142"
"19_51617905","19_36482725"
"19_51617905","19_38805927"
"19_51617905","19_44029449"
"19_51617905","19_44121610"
"19_51617905","19_45225357"
"19_51617905","19_45457145"
"19_51617905","19_46387104"
"19_51617905","19_50367996"
"19_51617905","19_50452736"
"19_51617905","19_50526842"
"19_51617905","19_50835874"
"19_51617905","19_50867061"
"19_51617905","19_50986471"
"19_51617905","19_51015483"
"19_51617905","19_51225136"
"19_51617905","19_51300965"
"19_51617905","19_51305500"
"19_51617905","19_51319574"
"19_51617905","19_51371886"
"19_51617905","19_51405128"
"19_51617905","19_51470971"
"19_51617905","19_51523012"
"19_51617905","19_51529146"
"19_51617905","19_51564700"
"19_51617905","19_51584491"
"19_51617905","19_51608596"
"19_51617905","19_51666063"
"19_51617905","19_51760252"
"19_51617905","19_51844731"
"19_51617905","19_51943445"
"19_51617905","19_51977821"
"19_51617905","19_51987570"
"19_51617905","19_52066346"
"19_51617905","19_52089926"
"19_51617905","19_52143468"
"19_51617905","19_52188083"
"19_51617905","19_52213503"
"19_51617905","19_52254325"
"19_51617905","19_52293146"
"19_51617905","19_52507278"
"19_51617905","19_54120976"
"19_51617905","19_54663038"
"19_51617905","19_54693495"
"19_51617905","19_54703387"
"19_51617905","19_54959142"
"19_51617905","19_55578961"
"19_51617905","19_55623199"
"19_51617905","19_55794659"
"19_51617905","19_55892329"
"19_51617905","19_56102628"
"19_51617905","19_56657382"
"2_24229593","2_24148001"
"2_209222656","2_206976307"
"2_209222656","2_207023009"
"2_209222656","2_207503231"
"2_209222656","2_207629540"
"2_209222656","2_210285850"
"2_209222656","2_210863697"
"2_209222656","2_210893932"
"2_209222656","2_211030130"
"2_216940809","2_203131695"
"2_216940809","2_214147251"
"2_216940809","2_215670462"
"2_216940809","2_216172445"
"2_216940809","2_216898819"
"2_216940809","2_216966722"
"2_216940809","2_217270739"
"2_216940809","2_217362391"
"2_216940809","2_220040597"
"2_216940809","2_220133863"
"2_216940809","2_220160298"
"2_216940809","2_232322127"
"20_31167858","20_30406625"
"20_55957140","20_54962085"
"20_55957140","20_56193281"
"20_55957140","20_56798095"
"20_55957140","20_56878596"
"20_55957140","20_57223958"
"20_62186341","20_62525548"
"20_62186341","20_62572961"
"20_62186341","20_62575156"
"20_62186341","20_62597686"
"21_30444293","21_26945874"
"21_30444293","21_26977235"
"21_30444293","21_27011379"
"21_30444293","21_27102338"
