"ID","Genes","Promoter","CpGs","Cytoscape_feature","final_feature"
"""1_1398654""","ATAD3B",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_1709350""","GNB1;NADK",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_2450976""","PANK4",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_8008116""","PARK7",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_9598476""","SLC25A33",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_12115424""","TNFRSF8",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_12673527""","DHRS3;RP11-474O21.5",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_13839691""","LRRC38;RP4-597A16.2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_15722210""","EFHD2;RP3-467K16.4",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_16485103""","RP11-276H7.3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_16560582""","RSG1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_19922861""","MINOS1;MINOS1-NBL1;RP5-1056L3.1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_23851717""","E2F2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_24118378""","GALE;LYPLA2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_25869153""","LDLRAP1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_26122880""","SEPN1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_27018057""","ARID1A;RP5-968P14.2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_27714328""","GPR3;RP1-144C9.2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_28584972""","SESN2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_32226064""","BAI2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_32642437""","TXLNA",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_32753663""","HDAC1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_36015399""","KIAA0319L;NCDN",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_36261113""","AGO4",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_36883305""","OSCP1;SNORA63",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_37979236""","MEAF6",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_39448021""","AKIRIN1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_40901333""","ZFP69B",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_41155298""","NFYC-AS1;NFYC",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_44441553""","ATP6V0B;B4GALT2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_47183266""","EFCAB14",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_53685740""","C1orf123;RP5-1024G6.7",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_59011571""","DAB1;OMA1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_59758286""","FGGY",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_63826788""","ALG6;RP4-792G4.3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_65885295""","LEPR;LEPROT",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_91961842""","CDC7",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_92951704""","GFI1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_100313162""","AGL",TRUE,TRUE,"Promoter_methylated","Not_in_network"
