"ID","Genes","Promoter","CpGs","Cytoscape_feature","final_feature"
"""1_831895""","RP11-54O7.16;RP11-54O7.1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_943677""","AGRN;ISG15;RP11-54O7.11",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_1049052""","C1orf159",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_1096739""","MIR200A;MIR200B;MIR429;RP11-465B22.8",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_1313316""","CCNL2;MRPL20;RN7SL657P;RP4-758J18.13;RP4-758J18.2;RP5-890O3.3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_1709350""","GNB1;NADK",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_3581866""","RP5-1092A11.5",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_3590780""","RP5-1092A11.2;TP73",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_9336978""","Z98044.1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_11793489""","AGTRAP",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_12225212""","TNFRSF1B",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_22137923""","HSPG2;LDLRAD2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_23695196""","C1orf213;RP5-1057J7.7;Y_RNA;ZNF436",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_25273787""","RP11-84D1.1;RUNX3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_26796595""","HMGN2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_32410371""","PTP4A2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_32716766""","LCK",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_32787407""",NA,TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_45241679""","RPS8;SNORD38A;SNORD46",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_45806064""","MUTYH;TOE1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_70819945""","ANKRD13C;HHLA3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_92951704""","GFI1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_94055034""","BCAR3;RP5-1033H22.2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_109202150""","HENMT1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_109496842""","AKNAD1;CLCC1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_111742392""","CHI3L2;DENND2D",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_117109278""","CD58",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_117542531""","CD101",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_150769819""","CTSK;UBE2D3P3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_151029436""","CDC42SE1;MLLT11",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_153315280""","PGLYRP4",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_153495077""","BX470102.3;S100A3;S100A4;S100A5;S100A6",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_153743839""","SLC27A3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_154831781""","KCNN3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_156107982""","SEMA4A",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_156208305""","BGLAP",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_160492674""","SLAMF6",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_167485364""","AKR1D1P1;CD247",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_169070988""","ATP1B1;RP5-1018K9.1",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_173988669""","RC3H1;RP11-160H22.3",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_181045928""","IER5",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_183557436""","NCF2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_185013354""","RNF2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_203135462""","MYBPH",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_203319882""","FMOD;RP11-435P24.2",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_204462957""","PIK3C2B",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_207095325""","FAIM3;PIGR",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_207260202""","C4BPB",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_223314392""","RP11-239E10.2;TLR5",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_226110293""","LEFTY2;PYCR2;RP4-559A3.6;RP4-559A3.7",TRUE,TRUE,"Promoter_methylated","Not_in_network"
"""1_228284922""","C1orf35;MIR3620",TRUE,TRUE,"Promoter_methylated","Not_in_network"
