"ID","Genes","Promoter","CpGs"
"""1_831895""","RP11-54O7.16;RP11-54O7.1",TRUE,TRUE
"""1_3590780""","RP5-1092A11.2;TP73",TRUE,TRUE
"""1_9294268""","H6PD",TRUE,TRUE
"""1_26554159""","CEP85",TRUE,TRUE
"""1_28968733""","RNU11;RP11-442N24__B.1;TAF12",TRUE,TRUE
"""1_110444689""","CSF1",TRUE,TRUE
"""1_151583021""","RP11-404E16.1;SNX27",TRUE,TRUE
"""1_154290327""","AQP10;ATP8B2",TRUE,TRUE
"""10_134245271""","RP11-432J24.3",TRUE,TRUE
"""11_312307""","IFITM1;IFITM3;RP11-326C3.10;RP11-326C3.11;RP11-326C3.13;RP11-326C3.14",TRUE,TRUE
"""11_388132""","ANO9;PKP3;SIGIRR",TRUE,TRUE
"""11_1841987""","SYT8;TNNI2",TRUE,TRUE
"""11_2914488""","SLC22A18AS;SLC22A18",TRUE,TRUE
"""11_66200147""","SNORA43",TRUE,TRUE
"""11_66232322""","CTD-3074O7.5;DPP3;MRPL11;PELI3",TRUE,TRUE
"""11_66959174""","AP001885.1",TRUE,TRUE
"""12_6609864""","NCAPD2;SCARNA10",TRUE,TRUE
"""12_49998691""","FAM186B",TRUE,TRUE
"""14_23585914""","CEBPE",TRUE,TRUE
"""14_103051914""","RCOR1",TRUE,TRUE
"""16_307214""","ARHGDIG;ITFG3",TRUE,TRUE
"""16_413009""","MRPL28",TRUE,TRUE
"""16_840378""","CHTF18;GNG13;PRR25",TRUE,TRUE
"""16_1522211""","CLCN7;LA16c-390E6.3;RPS3AP2",TRUE,TRUE
"""16_2017192""","RNF151;TBL3",TRUE,TRUE
"""16_4586434""","CDIP1",TRUE,TRUE
"""16_4663479""","MGRN1;UBALD1",TRUE,TRUE
"""16_30662395""","FBRS;PRR14",TRUE,TRUE
"""16_31016166""","STX1B",TRUE,TRUE
"""16_84203578""","DNAAF1;TAF1C",TRUE,TRUE
"""16_84536967""","TLDC1",TRUE,TRUE
"""17_294770""","FAM101B;RP5-1029F21.3",TRUE,TRUE
"""17_3741192""","C17orf85",TRUE,TRUE
"""17_6943311""","SLC16A11",TRUE,TRUE
"""17_73620723""","MYO15B;RECQL5;SMIM5",TRUE,TRUE
"""17_73861050""","RP11-552F3.9;TRIM47",TRUE,TRUE
"""18_2647332""","RNU6-340P",TRUE,TRUE
"""19_2249764""","JSRP1;MIR4321",TRUE,TRUE
"""19_10360796""","CTD-2369P2.4;ICAM1;MRPL4",TRUE,TRUE
"""19_10516027""","CDC37;PDE4A",TRUE,TRUE
"""19_12744852""","CTD-2192J16.15;MAN2B1;ZNF490",TRUE,TRUE
"""19_17292509""","CTD-3032J10.3;MYO9B;OCEL1;USE1",TRUE,TRUE
"""19_18041577""","CCDC124;KCNN1",TRUE,TRUE
"""19_40766703""","AKT2;CTC-425O23.2;MIR641",TRUE,TRUE
"""19_41085219""","LTBP4;SHKBP1",TRUE,TRUE
"""19_52526161""","ZNF614",TRUE,TRUE
"""2_23600229""","AC012506.4;KLHL29",TRUE,TRUE
"""2_30360487""","AC016907.3;YPEL5",TRUE,TRUE
"""2_105717464""","AC104655.2",TRUE,TRUE
"""20_30637304""","HCK;RNA5SP482",TRUE,TRUE
"""20_32874333""","AHCY",TRUE,TRUE
"""20_34706369""","EPB41L1;snoU13",TRUE,TRUE
"""20_60939241""","LAMA5",TRUE,TRUE
"""20_60972715""","CABLES2",TRUE,TRUE
"""21_44383244""","AP001630.5",TRUE,TRUE
"""21_44392160""","PKNOX1",TRUE,TRUE
"""21_44584505""","CRYAA",TRUE,TRUE
"""21_46700920""","BX322557.10;POFUT2",TRUE,TRUE
"""3_9916335""","CIDEC",TRUE,TRUE
"""3_112737355""","C3orf17;RP11-572M11.4",TRUE,TRUE
"""3_178788587""","ZMAT3",TRUE,TRUE
"""5_1073554""","SLC12A7",TRUE,TRUE
"""5_1362611""","RP11-325I22.1;RP11-325I22.2",TRUE,TRUE
"""5_95182207""","AC008592.8;C5orf27",TRUE,TRUE
"""6_31643317""","ABHD16A;LY6G5C",TRUE,TRUE
"""6_32097279""","AGPAT1;EGFL8;FKBPL;PPT2-EGFL8;PPT2;PRRT1",TRUE,TRUE
"""6_32153169""","GPSM3;NOTCH4;PBX2;XXbac-BPG300A18.13",TRUE,TRUE
"""6_42118456""","GUCA1A;RP1-139D8.6",TRUE,TRUE
"""6_166795342""","MPC1;RP1-168L15.5",TRUE,TRUE
"""7_909888""","GET4;RP11-449P15.2",TRUE,TRUE
"""7_1491242""","AC102953.4;INTS1;MICALL2;RP11-1246C19.1",TRUE,TRUE
"""7_2690785""","AMZ1;TTYH3",TRUE,TRUE
"""8_23455713""","RNU4-71P",TRUE,TRUE
"""8_144325228""","ZFP41",TRUE,TRUE
"""8_144724741""","RNU7-109P;ZNF623",TRUE,TRUE
"""9_135227150""","SETX",TRUE,TRUE
"""X_54838929""","SNORA11",TRUE,TRUE
"""1_850619""","AL645608.1;RP11-54O7.3;SAMD11",TRUE,FALSE
"""1_3688547""","SMIM1",TRUE,FALSE
"""1_3815536""","C1orf174;LINC01134",TRUE,FALSE
"""1_6049670""","KCNAB2;NPHP4",TRUE,FALSE
